key_as_string,key,doc_count,jumlah_vaksinasi_2,jumlah_vaksinasi_1,jumlah_jumlah_vaksinasi_1_kum,jumlah_jumlah_vaksinasi_2_kum
2021-02-01,1612137600000,1,0,0,0,0
2021-02-02,1612224000000,0,0,0,0,0
2021-02-03,1612310400000,0,0,0,0,0
2021-02-04,1612396800000,0,0,0,0,0
2021-02-05,1612483200000,0,0,0,0,0
2021-02-06,1612569600000,0,0,0,0,0
2021-02-07,1612656000000,0,0,0,0,0
2021-02-08,1612742400000,0,0,0,0,0
2021-02-09,1612828800000,0,0,0,0,0
2021-02-10,1612915200000,0,0,0,0,0
2021-02-11,1613001600000,0,0,0,0,0
2021-02-12,1613088000000,0,0,0,0,0
2021-02-13,1613174400000,0,0,0,0,0
2021-02-14,1613260800000,0,0,0,0,0
2021-02-15,1613347200000,0,0,0,0,0
